id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
P130,Tuckasegee,Tuck 1,L. fasciola,5.5,1.8,35,21,14,9/19/13,0,1
P144,Tuckasegee,Tuck 1,L. fasciola,3.8,1.1,30,18,11,9/19/13,0,1
P139,Tuckasegee,Tuck 1,L. fasciola,4.3,1.1,32,18,13,9/19/13,0,1
P149,Tuckasegee,Tuck 1,L. fasciola,2.6,0.8,27.7,17.7,11.2,5/6/14,0,1
P147,Tuckasegee,Tuck 1,L. fasciola,6.3,2,33.9,21.9,13.4,5/6/14,0,1
P108,Tuckasegee,Tuck 1,L. fasciola,7.8,2.1,36,23,16,9/19/13,0,1
P104,Tuckasegee,Tuck 1,L. fasciola,7.8,2.6,38,24,15,9/19/13,0,1
P142,Tuckasegee,Tuck 1,L. fasciola,5.4,1.5,32.5,21,14.1,5/6/14,0,1
P156,Tuckasegee,Tuck 2,L. fasciola,9.2,9.6,39.2,23.2,16.1,5/6/14,0,1
P102,Tuckasegee,Tuck 2,L. fasciola,NA,NA,NA,NA,NA,NA,NA,1
P111,Tuckasegee,Tuck 2,L. fasciola,7.8,1.9,40,25,16,9/19/13,0,1
P140,Tuckasegee,Tuck 2,L. fasciola,7.2,2.6,33.4,22.3,13.6,5/6/14,0,1
P113,Tuckasegee,Tuck 2,L. fasciola,9.2,2.6,40,26,17,9/19/13,0,1
P137,Tuckasegee,Tuck 2,L. fasciola,7,2.5,34.8,22,14.5,5/6/14,0,1
P100,Tuckasegee,Tuck 2,L. fasciola,5.7,2.7,34,23,14,9/19/13,0,1
P103,Tuckasegee,Tuck 2,L. fasciola,7.1,2.9,38,23,15,9/19/13,0,1
P122,Tuckasegee,Tuck 2,L. fasciola,7.6,2.1,36,24,15,9/19/13,0,1
P155,Tuckasegee,Tuck 2,L. fasciola,10.4,2.5,36.2,16.6,24.6,5/6/14,0,1
P138,Tuckasegee,Tuck 2,L. fasciola,NA,NA,NA,NA,NA,NA,NA,1
P126,Tuckasegee,Tuck 2,L. fasciola,5.6,1.3,35,21,14,9/19/13,0,1
P098,Tuckasegee,Tuck 3,L. fasciola,6.9,1.9,36,21,15,9/19/13,0,1
P112,Tuckasegee,Tuck 3,L. fasciola,7.6,2.4,38,24,16,9/19/13,0,1
P133,Tuckasegee,Tuck 3,L. fasciola,7.3,1.7,34.4,21.1,15.8,5/6/14,0,1
P107,Tuckasegee,Tuck 3,L. fasciola,6.6,2.4,37,24,15,9/19/13,0,1
P135,Tuckasegee,Tuck 3,L. fasciola,9.2,2.1,40,24,17,9/19/13,0,1
P164,Tuckasegee,Tuck 3,L. fasciola,6.4,2.6,35.8,23.7,13,5/6/14,0,1
P129,Tuckasegee,Tuck 3,L. fasciola,8.9,2.3,37.1,23.2,16.1,5/6/14,0,1
P123,Tuckasegee,Tuck 3,L. fasciola,9.4,2.5,37,23,17,9/19/13,0,1
P096,Tuckasegee,Tuck 3,L. fasciola,5.9,1.1,33,20,14,9/19/13,0,1
P152,Tuckasegee,Tuck 3,L. fasciola,9.5,2.5,37,24.6,17.1,5/6/14,0,1
P134,Tuckasegee,Tuck 3,L. fasciola,7.2,2.2,35.3,21.9,15.5,5/6/14,0,1
P145,Tuckasegee,Tuck 3,L. fasciola,6.2,1.8,33.6,21.8,14.5,5/6/14,0,1
P118,Little Tennessee,LiTN 1,L. fasciola,6.3,2,36,23,14,9/19/13,0,1
P161,Little Tennessee,LiTN 1,L. fasciola,8.1,2.3,35,25,17,9/19/13,0,1
P114,Little Tennessee,LiTN 1,L. fasciola,6.4,1.4,33.8,25,13.9,5/6/14,0,1
P165,Little Tennessee,LiTN 1,L. fasciola,5.7,1.6,34,21,14,9/19/13,0,1
P159,Little Tennessee,LiTN 1,L. fasciola,6.2,1.5,34,21,14,9/19/13,0,1
P143,Little Tennessee,LiTN 1,L. fasciola,6.7,1.1,34.2,22.6,14.6,5/6/14,0,1
P115,Little Tennessee,LiTN 1,L. fasciola,8.3,2.2,37.6,24.6,15.2,5/6/14,0,1
P128,Little Tennessee,LiTN 1,L. fasciola,10.4,3.3,36.6,25.1,16.6,5/6/14,0,1
P109,Little Tennessee,LiTN 1,L. fasciola,5.4,1.6,33,22,13,9/19/13,0,1
P090,Little Tennessee,LiTN 1,L. fasciola,6,1.6,34,22,14,9/19/13,0,1
P093,Little Tennessee,LiTN 1,L. fasciola,9.2,3,37.8,25,17.2,5/6/14,0,1
P091,Little Tennessee,LiTN 1,L. fasciola,9.7,2.1,37.7,24.6,17.2,5/6/14,0,1
P154,Little Tennessee,LiTN 2,L. fasciola,5.7,1.5,34,22,14,9/19/13,0,1
P094,Little Tennessee,LiTN 2,L. fasciola,6.5,1.6,35,23,15,9/19/13,0,1
P117,Little Tennessee,LiTN 2,L. fasciola,5.7,1.6,33,21,14,9/19/13,0,1
P131,Little Tennessee,LiTN 2,L. fasciola,9.9,2.6,38.8,24.9,16.4,5/6/14,0,1
P168,Little Tennessee,LiTN 2,L. fasciola,3.6,0.8,30,18,12,9/19/13,0,1
